Transaction ID,Items
1,"bread, eggs"
2,"chips, bread, eggs, shampoo, milk, bread"
3,"milk, milk"
4,"bread, chips, milk, bread"
5,"eggs, milk, bread"
6,"milk, bread, bread, milk, eggs"
7,"chips, detergent"
8,"bread, milk, milk, cereal"
9,"eggs, milk"
10,"milk, chips"
11,"detergent, diapers, cereal"
12,"cereal, eggs, milk, cereal, milk"
13,"milk, cereal, clothes, chips"
14,"bread, cereal"
15,"milk, milk"
16,"detergent, clothes"
17,"cereal, diapers, shampoo, bread"
18,"cereal, milk, clothes"
19,"chips, bread"
20,"diapers, detergent, milk, chips, chips, clothes"
